,date,Prawo i Sprawiedliwość,Porozumienie,Solidarna Polska,PlatformaObywatelska,.Nowoczesna,Partia Zieloni 🌻,Inicjatywa Polska,Konfederacja,Ruch Narodowy,Partia KORWiN,🍀 PSL,KUKIZ15 🇵🇱,Lewica,Razem
0,2020-01-01,1,0,0,1,1,1,0,1,0,0,2,0,4,7
1,2020-01-02,3,0,1,4,1,2,0,12,1,0,7,0,14,6
2,2020-01-03,2,0,0,13,0,6,0,7,6,0,1,0,10,9
3,2020-01-04,2,1,1,0,2,2,0,3,5,1,0,0,7,6
4,2020-01-05,2,0,0,4,0,5,1,1,6,0,1,0,6,4
5,2020-01-06,2,0,0,5,1,3,1,7,1,1,2,0,9,5
6,2020-01-07,7,1,2,13,0,8,0,18,4,0,19,0,19,17
7,2020-01-08,14,2,0,21,1,6,0,10,3,0,15,0,38,4
8,2020-01-09,8,1,1,7,1,3,1,22,0,0,10,0,26,12
9,2020-01-10,3,2,0,4,2,2,0,14,3,0,5,4,14,0
10,2020-01-11,2,0,0,4,6,8,0,2,1,1,5,1,7,1
11,2020-01-12,2,0,0,6,1,1,0,1,3,0,5,0,3,8
12,2020-01-13,3,8,0,7,5,4,1,9,5,1,5,0,15,5
13,2020-01-14,8,0,1,9,2,19,0,15,4,0,10,0,14,5
14,2020-01-15,6,0,2,22,2,4,0,13,5,0,7,0,22,2
15,2020-01-16,18,1,2,24,1,8,0,23,2,0,6,0,22,46
16,2020-01-17,6,6,0,11,1,5,0,11,4,0,2,1,14,6
17,2020-01-18,8,0,2,6,2,29,0,29,8,0,7,0,7,5
18,2020-01-19,2,0,0,4,0,17,0,5,8,0,0,0,27,22
19,2020-01-20,9,2,4,5,6,2,0,7,6,0,7,0,19,10
20,2020-01-21,12,0,1,12,1,3,0,23,5,0,8,0,12,9
21,2020-01-22,15,1,0,6,2,0,0,11,6,0,15,1,10,12
22,2020-01-23,11,1,0,26,1,2,0,9,2,2,4,0,11,9
23,2020-01-24,13,1,0,11,1,2,1,29,5,0,1,0,10,12
24,2020-01-25,2,0,0,9,1,0,0,10,3,0,4,0,10,8
25,2020-01-26,2,1,0,14,1,8,0,2,0,0,0,0,10,15
26,2020-01-27,4,2,0,10,4,10,1,31,4,0,9,0,13,11
27,2020-01-28,13,1,3,20,1,2,0,37,1,0,10,0,9,9
28,2020-01-29,6,0,0,45,3,11,0,34,5,0,6,0,14,7
29,2020-01-30,11,1,0,14,1,9,0,35,6,0,12,0,13,5
30,2020-01-31,5,1,0,11,0,6,0,43,3,0,2,0,16,12
31,2020-02-01,2,0,0,3,50,0,0,11,1,0,1,0,9,0
32,2020-02-02,7,0,0,0,28,1,0,13,1,0,2,0,11,6
33,2020-02-03,12,0,1,9,5,5,0,38,3,0,3,0,21,10
34,2020-02-04,3,0,2,28,2,9,2,35,5,5,2,0,15,7
35,2020-02-05,18,1,0,18,45,4,0,55,3,2,8,0,12,4
36,2020-02-06,11,0,2,7,1,4,0,50,0,1,12,0,30,8
37,2020-02-07,5,2,1,5,0,3,0,68,5,0,5,0,9,10
38,2020-02-08,7,0,46,73,1,8,0,34,0,0,3,11,8,5
39,2020-02-09,2,1,1,1,1,0,0,37,0,0,2,0,10,8
40,2020-02-10,3,5,0,5,1,6,0,41,0,0,3,0,17,7
41,2020-02-11,13,1,0,8,1,2,0,56,4,0,2,0,21,4
42,2020-02-12,13,0,6,24,4,2,0,57,7,0,7,0,49,15
43,2020-02-13,16,2,3,38,3,11,0,48,10,0,6,1,34,26
44,2020-02-14,9,0,0,11,0,1,1,36,2,6,3,0,27,17
45,2020-02-15,2,0,0,8,1,4,0,21,0,2,2,0,52,9
46,2020-02-16,12,2,0,3,5,15,0,27,1,0,2,0,4,4
47,2020-02-17,3,15,0,7,1,21,0,66,0,0,5,0,11,17
48,2020-02-18,8,4,0,14,4,7,0,53,0,4,10,0,10,5
49,2020-02-19,3,4,0,18,1,11,0,40,0,2,11,0,20,8
50,2020-02-20,4,2,0,9,2,9,0,81,0,2,9,0,25,4
51,2020-02-21,7,2,1,14,3,9,0,49,3,5,6,0,16,16
52,2020-02-22,2,0,0,9,3,6,0,29,1,4,5,0,10,1
53,2020-02-23,2,1,0,0,1,6,0,55,1,4,2,0,8,13
54,2020-02-24,6,3,0,6,2,9,0,69,3,2,12,0,18,7
55,2020-02-25,8,8,0,13,1,9,0,63,0,3,3,0,20,6
56,2020-02-26,6,0,0,10,1,3,0,54,4,2,3,0,15,5
57,2020-02-27,4,0,0,29,0,6,1,59,1,2,2,0,21,7
