,date,Prawo i Sprawiedliwość,Porozumienie,Solidarna Polska,PlatformaObywatelska,.Nowoczesna,Partia Zieloni 🌻,Inicjatywa Polska,Konfederacja,Ruch Narodowy,Partia KORWiN,🍀 PSL,KUKIZ15 🇵🇱,Lewica,Razem
0,2020-01-01,31,0,0,265,15,45,0,296,0,0,11,0,49,5973
1,2020-01-02,58,0,15,235,3,110,0,1289,78,0,159,0,545,951
2,2020-01-03,38,0,0,298,0,285,0,994,305,0,3,0,357,1358
3,2020-01-04,61,16,37,0,14,93,0,610,232,418,0,0,124,1129
4,2020-01-05,28,0,0,134,0,211,55,144,311,0,8,0,248,1381
5,2020-01-06,34,0,0,132,7,63,21,464,58,7,10,0,211,1645
6,2020-01-07,991,58,17,887,0,217,0,1685,134,0,436,0,829,4416
7,2020-01-08,633,130,0,496,1,334,0,2667,484,0,334,0,3650,879
8,2020-01-09,721,47,3,189,2,51,27,3833,0,0,179,0,1299,2057
9,2020-01-10,104,49,0,95,7,27,0,1464,107,0,63,56,561,0
10,2020-01-11,50,0,0,245,75,126,0,459,27,30,89,0,664,13
11,2020-01-12,40,0,0,899,0,68,0,51,100,0,91,0,30,1475
12,2020-01-13,61,194,0,182,49,97,23,1836,437,34,87,0,620,767
13,2020-01-14,189,0,1,351,33,471,0,1243,324,0,184,0,367,3919
14,2020-01-15,205,0,24,1028,4,49,0,1039,247,0,159,0,514,406
15,2020-01-16,1356,29,313,1588,9,251,0,3072,48,0,119,0,1179,3646
16,2020-01-17,264,105,0,1547,6,266,0,726,193,0,11,3,310,1105
17,2020-01-18,845,0,31,782,109,626,0,1465,395,0,165,0,133,696
18,2020-01-19,57,0,0,1478,0,555,0,620,684,0,0,0,1437,2704
19,2020-01-20,679,51,420,471,103,61,0,1564,533,0,163,0,988,1480
20,2020-01-21,562,0,16,374,3,67,0,3148,282,0,174,0,440,4907
21,2020-01-22,991,54,0,1095,50,0,0,2229,518,0,455,13,290,1188
22,2020-01-23,771,21,0,787,41,226,0,1382,180,251,54,0,623,804
23,2020-01-24,530,29,0,437,5,40,29,4881,455,0,6,0,248,1201
24,2020-01-25,54,0,0,1514,67,0,0,2439,387,0,89,0,228,814
25,2020-01-26,44,96,0,2366,4,225,0,379,0,0,0,0,535,3475
26,2020-01-27,61,88,0,1374,622,206,5,3233,290,0,163,0,332,1751
27,2020-01-28,401,22,85,1191,3,37,0,2938,101,0,181,0,296,1137
28,2020-01-29,239,0,0,2311,541,289,0,2637,240,0,100,0,989,1251
29,2020-01-30,296,42,0,1096,37,226,0,4777,307,0,231,0,391,2717
30,2020-01-31,187,43,0,908,0,160,0,3040,171,0,6,0,540,2367
31,2020-02-01,47,0,0,387,264,0,0,978,102,0,7,0,225,0
