,date,Prawo i Sprawiedliwość,Porozumienie,Solidarna Polska,PlatformaObywatelska,.Nowoczesna,Partia Zieloni 🌻,Inicjatywa Polska,Konfederacja,Ruch Narodowy,Partia KORWiN,🍀 PSL,KUKIZ15 🇵🇱,Lewica,Razem
0,2020-01-01,12,0,0,49,6,8,0,103,0,0,6,0,10,1186
1,2020-01-02,31,0,6,71,3,39,0,383,31,0,89,0,73,47
2,2020-01-03,11,0,0,100,0,117,0,319,100,0,2,0,63,185
3,2020-01-04,27,2,31,0,7,36,0,134,59,64,0,0,13,96
4,2020-01-05,10,0,0,45,0,130,18,38,86,0,5,0,33,128
5,2020-01-06,12,0,0,40,2,24,6,140,8,0,7,0,30,104
6,2020-01-07,246,13,0,300,0,81,0,462,38,0,305,0,140,509
7,2020-01-08,157,32,0,167,0,127,0,753,167,0,211,0,674,124
8,2020-01-09,187,13,1,68,0,21,15,1115,0,0,108,0,212,243
9,2020-01-10,26,22,0,25,3,9,0,438,35,0,41,19,80,0
10,2020-01-11,18,0,0,78,16,42,0,170,7,6,57,0,36,0
11,2020-01-12,14,0,0,239,0,15,0,12,22,0,45,0,3,79
12,2020-01-13,26,102,0,70,8,24,10,543,127,6,57,0,106,117
13,2020-01-14,67,0,0,114,8,200,0,398,95,0,134,0,59,637
14,2020-01-15,69,0,5,338,1,4,0,321,58,0,117,0,117,63
15,2020-01-16,392,15,46,429,3,118,0,801,17,0,79,0,249,354
16,2020-01-17,85,38,0,449,2,141,0,201,49,0,6,4,57,128
17,2020-01-18,147,0,7,172,43,217,0,228,77,0,90,0,33,44
18,2020-01-19,24,0,0,445,0,220,0,71,146,0,0,0,443,407
19,2020-01-20,163,19,152,161,69,22,0,492,159,0,107,0,121,134
20,2020-01-21,147,0,8,114,1,15,0,856,70,0,120,0,77,729
21,2020-01-22,225,18,0,439,31,0,0,648,151,0,294,10,51,134
22,2020-01-23,178,9,0,265,18,45,0,407,49,61,36,0,140,136
23,2020-01-24,128,5,0,125,0,1,11,1101,117,0,5,0,49,160
24,2020-01-25,20,0,0,297,39,0,0,512,103,0,52,0,42,56
25,2020-01-26,16,42,0,699,1,56,0,98,0,0,0,0,102,298
26,2020-01-27,21,33,0,277,261,92,3,894,81,0,111,0,76,179
27,2020-01-28,122,11,29,294,0,13,0,800,17,0,117,0,62,80
28,2020-01-29,54,0,0,734,122,87,0,692,78,0,71,0,207,147
29,2020-01-30,80,15,0,352,26,60,0,1068,97,0,168,0,100,247
30,2020-01-31,44,17,0,245,0,60,0,785,57,0,4,0,91,102
