id,conversation_id,date,time,tweet,language,timestamp
1314818605947772929,1314818605947772929,2020-10-10,08:42:38,"@Nowoczesna  też jest kapitalistyczna, nosi maski, i jest liberalna światopoglądowo. Nie tylko @KONFEDERACJA_ , która jest po**bana ma kapitalistyczne postulaty.",pl,2020-10-10 08:42:38
1312887385542270977,1312886070053400583,2020-10-05,00:48:39,"@Nowoczesna @Rozmowa_RMF @KLubnauer Konto instnieje, powiadamia o rozmowie 🙊🙈🙉",pl,2020-10-05 00:48:39
1312886788856348673,1312886070053400583,2020-10-05,00:46:17,@Nowoczesna @Rozmowa_RMF @KLubnauer O boże Nowoczesna jeszcze istnieje 😂,pl,2020-10-05 00:46:17
1311752094907539460,1311752094907539460,2020-10-01,21:37:25,@Nowoczesna promuje rynsztokowy język.,pl,2020-10-01 21:37:25
1311714271466840067,1311714271466840067,2020-10-01,19:07:07,@Nowoczesna Jasiu pyta kiedy spłacicie dług?,pl,2020-10-01 19:07:07
1310277420914823168,1309979555432669185,2020-09-27,19:57:35,@Nowoczesna @RepublikaTV @MiroslawSuchon @tvn24kawa @KLubnauer @tvpbydgoszcz @JoannaCz_Thomas Ciekawe czy powiedza kiedy oddadzą kase  https://t.co/8xqLSyXlyZ,pl,2020-09-27 19:57:35
1310277337053908992,1309979555432669185,2020-09-27,19:57:15,@Nowoczesna @RepublikaTV @MiroslawSuchon @tvn24kawa @KLubnauer @tvpbydgoszcz @JoannaCz_Thomas  https://t.co/3jzlKJrEvb,und,2020-09-27 19:57:15
1310204451865718787,1309979555432669185,2020-09-27,15:07:38,@Nowoczesna @KLubnauer @RepublikaTV @MiroslawSuchon @tvn24kawa @tvpbydgoszcz @JoannaCz_Thomas Jeszcze żyjcie,pl,2020-09-27 15:07:38
1310089620034588672,1309979555432669185,2020-09-27,07:31:20,@Nowoczesna @KLubnauer @RepublikaTV @MiroslawSuchon @tvn24kawa @tvpbydgoszcz @JoannaCz_Thomas Co to za plankton polityczny? Coś takiego jeszcze istnieje?,pl,2020-09-27 07:31:20
1310087337519570944,1309979555432669185,2020-09-27,07:22:16,@Nowoczesna @KLubnauer @RepublikaTV @MiroslawSuchon @tvn24kawa @tvpbydgoszcz @JoannaCz_Thomas  https://t.co/XwmqAR4ukx,und,2020-09-27 07:22:16
1309479050474332161,1309474959769698311,2020-09-25,15:05:09,@Nowoczesna @TVP3Warszawa @S_Potapowicz kiedy oddacie długi..... dla kolegi pytam...,pl,2020-09-25 15:05:09
1308046807830855682,1308046640134197249,2020-09-21,16:13:55,@Nowoczesna @tvn24 @TakJestTVN24 @adamSzlapka Czy Covid 19 to jest Alibi USA do uderzenia na Chiny ?   https://t.co/DiDNbf42EJ,pl,2020-09-21 16:13:55
