id,conversation_id,date,time,tweet,language,timestamp
1318131709800566784,1318130107731632130,2020-10-19,12:07:43,"@Porozumienie__ @Jaroslaw_Gowin @MF_GOV_PL Targowiska są miejscem dużego skupienia ludzi...stanowią zagrożenie (choć na dworze) i dla sprzedających i dla kupujących, do tego są elementem zwiększającym mobilność regionalną.  Proponowałbym raczej wprowadzenie wolnego handlu ulicznego. Jednego z postulatów @KUKIZ15.",pl,2020-10-19 12:07:43
1317435789446418432,1317433707188359168,2020-10-17,14:02:23,"@Porozumienie__ 6 miesięcy przygotowań, gotowe scenariusze na jesień.... Brawo! Oh... wait!",pl,2020-10-17 14:02:23
1314235228563660804,1314222682435657729,2020-10-08,18:04:30,@Porozumienie__ @sz_furman @PolsatNewsPL @Jaroslaw_Gowin 👎👎👎👎👎,und,2020-10-08 18:04:30
1314223555660451840,1314222682435657729,2020-10-08,17:18:07,"@Porozumienie__ @PolsatNewsPL @Jaroslaw_Gowin Proszę się spytac czy jest  dalej za wprowadzeniem stanu wyjątkowego który chciał przy 300 zarażonych w maju,  no i czy wybory na jesień które forsował to był dobry pomysł",pl,2020-10-08 17:18:07
1314222248887226369,1313860303159996421,2020-10-08,17:12:55,"@Porozumienie__ @KamilBortniczuk @AGozdyra @PolsatNewsPL Porozumienie! Wasz kolega Kamil to porządny przypał. W tej #DebataDnia stwierdził; „Ten wirus (koronawirus) nie jest śmiercionośny, trup się nie słania po ulicach"". Skoro nie jest śmiercionośny to dlaczego dziś @MorawieckiM ogłasza; „cała Polska żółtą strefą""? @Jaroslaw_Gowin  https://t.co/U5faWeGUr8",pl,2020-10-08 17:12:55
1313902704176103424,1313902704176103424,2020-10-07,20:03:10,@Porozumienie__ skąd wy wzięliście tego idiotę Bortniczuka? Stał na skrzyżowaniu czy płynął rynsztokiem?,pl,2020-10-07 20:03:10
1313596665522159616,1313454247393079296,2020-10-06,23:47:05,"@Porozumienie__ @Jaroslaw_Gowin Gowin, jesteś zwykłą sprzedajną, polityczną dziwką. Za niszczenie kraju zostaniesz pociągnięty do odpowiedzialności.  Gardzimy tobą! Szujo!",pl,2020-10-06 23:47:05
1313591572928376836,1313588522897428480,2020-10-06,23:26:50,"@Porozumienie__ @Kacper_Szeluga @Jaroslaw_Gowin @wirtualnapolska Proszę zapytać o stanowisko wobec projektu objęcia spółek komandytowych CIT, który już jest w sejmie, w zasadzie projekt likwiduje te formę działania dla wielu polskich firm, podnosząc skale opodatkowania; zamiast rozwoju - godziny z prawnikami;",pl,2020-10-06 23:26:50
1313547303882493953,1313454247393079296,2020-10-06,20:30:56,"@Porozumienie__ @Jaroslaw_Gowin Najbardziej szkoda mi, że został odwołany p. Ardanowski. To wielka strata dla rządu i rolnictwa.",pl,2020-10-06 20:30:56
1313504253722472449,1313503597242585088,2020-10-06,17:39:52,@Porozumienie__ @Kacper_Szeluga @Jaroslaw_Gowin @KropkaNadI 🤦‍♀️🤦‍♀️🤦‍♀️,und,2020-10-06 17:39:52
