id,conversation_id,date,time,tweet,language,timestamp
1318183169959624709,1318148155985268737,2020-10-19,15:32:13,@pisorgpl @MZ_GOV_PL @a_niedzielski Bardziej poważnie niż konstytucję i przepisy prawa wynikające z ustaw i kk?,pl,2020-10-19 15:32:13
1318183074207858689,1318183074207858689,2020-10-19,15:31:50,@pisorgpl Kara boska dla pisownia I ich klakierow. Maja w dupie Nas I covid,pl,2020-10-19 15:31:50
1318183019610603520,1318174392631939072,2020-10-19,15:31:37,@pisorgpl @MorawieckiM Jo chrońmy pisiorów.,pl,2020-10-19 15:31:37
1318182901607993346,1318105503994728448,2020-10-19,15:31:09,@pisorgpl @MorawieckiM  https://t.co/b21Ou8TH87,und,2020-10-19 15:31:09
1318181792348835840,1318174392631939072,2020-10-19,15:26:44,"@pisorgpl @MorawieckiM ""kto może zminimalizować zakres kontaktów społecznych, kto może zostać w domu, kto może świadczyć pracę zdalnie, niech to zrobi.""....................No KTO WY PISowcy a prosze najszybsziej!  https://t.co/WAPtVfMe5u",pl,2020-10-19 15:26:44
1318181259626090497,1318173198744158208,2020-10-19,15:24:37,"@pisorgpl @MorawieckiM Podejrzewam, że sprzętowi ten wirus wisi. W przeciwieństwie do chorych....",pl,2020-10-19 15:24:37
1318181126079467526,1318181126079467526,2020-10-19,15:24:05,@pisorgpl zaorane!,cs,2020-10-19 15:24:05
1318181055359275008,1318174392631939072,2020-10-19,15:23:48,@pisorgpl @MorawieckiM Apeluję o podanie się do dymisji,pl,2020-10-19 15:23:48
1318180952615649280,1318105503994728448,2020-10-19,15:23:24,@pisorgpl @MorawieckiM Alleszopka,hu,2020-10-19 15:23:24
1318180229945479169,1318173198744158208,2020-10-19,15:20:32,"@pisorgpl @MorawieckiM Zwłaszcza Panu Szumowskiemu dziękujemy, że tak świetnie i tanio kupił respiratory i zabezpieczył Polaków przed drugą falą zachorowań na COVID.",pl,2020-10-19 15:20:32
1318179746770046977,1318094846750564352,2020-10-19,15:18:36,@pisorgpl @AndrzejDuda @CzarnekP To katastrofa!,lt,2020-10-19 15:18:36
1318179182887710722,1318174392631939072,2020-10-19,15:16:22,@pisorgpl @MorawieckiM Serio? Już nie jest w odwrocie?  https://t.co/DYl9sRSXFi,pl,2020-10-19 15:16:22
1318178897066905600,1318174392631939072,2020-10-19,15:15:14,@pisorgpl @MorawieckiM towarzyszu @MorawieckiM macie krew na rękach !!!,pl,2020-10-19 15:15:14
1318178809104027649,1318173011128782848,2020-10-19,15:14:53,@pisorgpl @MorawieckiM A Skoncentrowany to chyba magazynierem jest w AMR skoro wie lepiej od Premiera ile sprzętu mamy,pl,2020-10-19 15:14:53
1318178524616921088,1318174392631939072,2020-10-19,15:13:45,@pisorgpl @MorawieckiM Pamiętam tylko to  https://t.co/onrpXzzixG,pl,2020-10-19 15:13:45
1318178517775941633,1318174392631939072,2020-10-19,15:13:43,"@pisorgpl @MorawieckiM Trza było za wczasu się naszykować na falę o której trąbiono, a nie zajmować się wyborami, walką o stołki i szczuciem opozycji. Teraz to se możecie apelować.",pl,2020-10-19 15:13:43
1318178414134702086,1318174392631939072,2020-10-19,15:13:19,@pisorgpl @MorawieckiM Tak jest ! kaczynski na księżyc !!!,pl,2020-10-19 15:13:19
1318178140620050432,1318174392631939072,2020-10-19,15:12:13,@pisorgpl @MorawieckiM Takie coś znalazłem to wtedy była prawda czy teraz jest prawda. A może wtedy to było kłamstwo i teraz też.,pl,2020-10-19 15:12:13
1318178135603580929,1318174020077051904,2020-10-19,15:12:12,"@pisorgpl @MorawieckiM Nasza gospodarka cierpiała już przed covidem, teraz to jest zadeptywanie paleniska.",pl,2020-10-19 15:12:12
1318178027465998336,1318174392631939072,2020-10-19,15:11:46,@pisorgpl @MorawieckiM Moje dzieci mogą ale szkoły otwarte i obowiązkowe,pl,2020-10-19 15:11:46
1318178003118133249,1318178003118133249,2020-10-19,15:11:41,@pisorgpl ZBIRY!!!!,pl,2020-10-19 15:11:41
1318177779481980930,1318174020077051904,2020-10-19,15:10:47,@pisorgpl @MorawieckiM Policyjne państwo @pisorgpl    https://t.co/VOQ6dJYNrI,pl,2020-10-19 15:10:47
1318177697865105413,1318174392631939072,2020-10-19,15:10:28,@pisorgpl @MorawieckiM Policyjne państwo @pisorgpl    https://t.co/VOQ6dJYNrI,pl,2020-10-19 15:10:28
1318177673424916480,1318174392631939072,2020-10-19,15:10:22,@pisorgpl @urwis1977 @MorawieckiM  https://t.co/ZZdqtPfamq,und,2020-10-19 15:10:22
1318177554281467909,1318174392631939072,2020-10-19,15:09:54,"@pisorgpl @MorawieckiM Nie bądźcie cynikami... trup się kładzie, ale Andrzej prezydentem! Coś za coś... nie 🤣",pl,2020-10-19 15:09:54
1318177349226123264,1318174392631939072,2020-10-19,15:09:05,@pisorgpl @MorawieckiM A szkoły?,pl,2020-10-19 15:09:05
1318177341064040448,1318173808788910083,2020-10-19,15:09:03,@pisorgpl @MorawieckiM Jest jesień. To stąd będę jadł na obiad dorsza z surówką. #logikapis,pl,2020-10-19 15:09:03
1318177169735110661,1318105503994728448,2020-10-19,15:08:22,@pisorgpl @MorawieckiM A gdzie śledztwo? Tylko pokazowka i nic więcej.  Dobra zmiana-śmiechu warte.,pl,2020-10-19 15:08:22
1318176850301026305,1318174392631939072,2020-10-19,15:07:06,"@pisorgpl @MorawieckiM A kto ochroni moja rodzinę jak rozdupczycie całą gospodarkę, bo narazie chronimy seniorów, ale jak to się skończy to seniorzy nie nakarmią moich dzieci🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️",pl,2020-10-19 15:07:06
1318176681308336128,1318173011128782848,2020-10-19,15:06:26,@pisorgpl @MorawieckiM A ile w magazynach jest lekarzy i pielęgniarek?,pl,2020-10-19 15:06:26
1318176680536625152,1318173198744158208,2020-10-19,15:06:25,@pisorgpl @MorawieckiM  https://t.co/Z1ku24EASl,und,2020-10-19 15:06:25
1318176679328665600,1318172760112234497,2020-10-19,15:06:25,@pisorgpl @MorawieckiM Pytania. Czwmu nie odpowiada na pytania ? Pytam jako płatnik jego pensji,pl,2020-10-19 15:06:25
1318176628241989636,1318174392631939072,2020-10-19,15:06:13,@pisorgpl @MorawieckiM Kto cię słucha po tym co pieprzyłeś tuż przed wyborami❓,pl,2020-10-19 15:06:13
1318176551863803904,1318173198744158208,2020-10-19,15:05:55,@pisorgpl @MorawieckiM Masz na myśli Szumowskiego i jemu podobnych.,pl,2020-10-19 15:05:55
1318176237035114497,1318174392631939072,2020-10-19,15:04:40,"@pisorgpl @MorawieckiM . Ale jeśli moja babcia ma nade mną władzę wychowawczą i mieszkam z nią, jestem pełnoletnia i pracuję w biurze, to...  Tego... 😏  https://t.co/gjDpuxG9Uk",pl,2020-10-19 15:04:40
1318176217300914176,1318174392631939072,2020-10-19,15:04:35,"@pisorgpl @AC_Sobol @MorawieckiM Wniosek? Jesteśmy w czarnej D. Ratuj się, kto może!    PS  Tak PiS przygotował Polskę na pandemię.",pl,2020-10-19 15:04:35
1318176172757438466,1318173011128782848,2020-10-19,15:04:24,"@pisorgpl @MorawieckiM Zdaję się, że aplikacje na ajfony wliczyliście w tą liczbę.",pl,2020-10-19 15:04:24
1318176082068197377,1318105503994728448,2020-10-19,15:04:03,@pisorgpl @MorawieckiM Wasze idiotyczne decyzje zamknięcia Polakom dostępu do służby zdrowia generują dziesiątki przypadków dziennie gdy ludzie z chorobami przewlekłymi nie dostają na czas pomocy #zajob #Plandemia,pl,2020-10-19 15:04:03
1318176044923445248,1318173011128782848,2020-10-19,15:03:54,"@pisorgpl @MorawieckiM Pinokio, dla kogo ta ściema.",pl,2020-10-19 15:03:54
1318175966057955331,1318172760112234497,2020-10-19,15:03:35,@pisorgpl @MorawieckiM Ogromnie będzie nam potrzebny 👍👏👏👏,pl,2020-10-19 15:03:35
1318175511512862721,1318174020077051904,2020-10-19,15:01:47,"@pisorgpl @MorawieckiM Przechorowanie grypy zwiększa ryzyko udarów 8 razy,ryzyko zawałów 10 razy. Przy Covid-19 też się to zdarza,ale nie tak często. (…) Zmiany w płucach po koronawirusie ustępują po 3-6 miesiącach.Nie bójmy się~mówi prof. Piotr Kuna, pulmonolog z UM w Łodzi   https://t.co/BADAllBLLF",pl,2020-10-19 15:01:47
1318175357707735041,1318173198744158208,2020-10-19,15:01:10,"@pisorgpl @MorawieckiM Z punktu widzenia SPRZĘTU????? Mateuszu, twoje polonistki płaczą. Polacy też płaczą.",pl,2020-10-19 15:01:10
1318175321909321728,1318174392631939072,2020-10-19,15:01:01,@pisorgpl @MorawieckiM Kłamczuch zmienił śpiewkę? Do dymisji!,pl,2020-10-19 15:01:01
1318175320357376000,1318172760112234497,2020-10-19,15:01:01,@pisorgpl @MorawieckiM Prawo i skurwysyństwo sami sobie zakończyliście rządy brawo wy,pl,2020-10-19 15:01:01
1318175219840917504,1318174392631939072,2020-10-19,15:00:37,@pisorgpl @MorawieckiM Tylko z ostatnim zdaniem zgoda.Reszta ma normalnie żyć,pl,2020-10-19 15:00:37
1318175175268028416,1318174392631939072,2020-10-19,15:00:26,@pisorgpl @MorawieckiM A kto ochroni nas przed rządem?,pl,2020-10-19 15:00:26
1318175163146534912,1318174392631939072,2020-10-19,15:00:24,@pisorgpl @MorawieckiM Nie wiem ile wytrzymam w domowym więzieniu ?,pl,2020-10-19 15:00:24
1318175145392017410,1318175145392017410,2020-10-19,15:00:19,@pisorgpl „NIECH JADĄ”❗️❗️❗️,pl,2020-10-19 15:00:19
1318175035803258881,1318174392631939072,2020-10-19,14:59:53,@pisorgpl @MorawieckiM Już za późno - główny senior Kaczyński na kwarantannie,pl,2020-10-19 14:59:53
1318175019550298115,1318174020077051904,2020-10-19,14:59:49,"@pisorgpl @MorawieckiM Tak droga środka, dzięki tym działania jesteśmy w środku czarnej dupy.",pl,2020-10-19 14:59:49
1318174884216729600,1318174392631939072,2020-10-19,14:59:17,@pisorgpl @MorawieckiM  https://t.co/XEZGBPjXgK,und,2020-10-19 14:59:17
1318174846849814533,1318174392631939072,2020-10-19,14:59:08,@pisorgpl @MorawieckiM Gdzie są te respiratory od Szumowskiego???,pl,2020-10-19 14:59:08
1318174699923406848,1318148862851321856,2020-10-19,14:58:33,@pisorgpl @MZ_GOV_PL @a_niedzielski W czym maseczki pomagają ale tak serio pytam one przed niczym nie chronią no może jedynie przed kurzem,pl,2020-10-19 14:58:33
1318174659238629376,1318174392631939072,2020-10-19,14:58:23,"@pisorgpl @MorawieckiM Żebractwo i skamlanie. Gdzie respiratory, kurwa ❗ ❓",pl,2020-10-19 14:58:23
1318174440606388224,1318173011128782848,2020-10-19,14:57:31,"@pisorgpl @MorawieckiM To taki magazyn, jak w ostatniej scenie z ""Poszukiwaczy zaginionej Arki""?",pl,2020-10-19 14:57:31
1318174051634991104,1318173808788910083,2020-10-19,14:55:59,@pisorgpl @MorawieckiM Opracowaliście jakiś specjalny model maseczki na wydłużający się nos pinokia?,pl,2020-10-19 14:55:59
1318174049726509058,1318173011128782848,2020-10-19,14:55:58,"@pisorgpl @MorawieckiM Podobno szpitale muszą wybierać kogo leczyć, bo brak sprzętu, a tu kilka tysięcy w magazynach?  Pół roku mieliście na przygotowanie służby zdrowia...",pl,2020-10-19 14:55:58
1318174023130488832,1318105503994728448,2020-10-19,14:55:52,@pisorgpl @MorawieckiM szalom bracie. taki katolik z Ciebie jak ze mnie murzyn  https://t.co/0D1tlWF0It,pl,2020-10-19 14:55:52
1318174018151866371,1318173198744158208,2020-10-19,14:55:51,@pisorgpl @MorawieckiM Mówicie o tych niewidzialnych respiratorach od handlarza bronią? W razie potrzeby Jarka podłączycie do nich?,pl,2020-10-19 14:55:51
1318173955304415233,1318173011128782848,2020-10-19,14:55:36,@pisorgpl @MorawieckiM znakomicie,pl,2020-10-19 14:55:36
1318173905580941314,1318173198744158208,2020-10-19,14:55:24,@pisorgpl @MorawieckiM swietnie,pl,2020-10-19 14:55:24
1318173807530659842,1318105503994728448,2020-10-19,14:55:00,@pisorgpl @MorawieckiM znowu sie zydzie popieluszka wycierasz ? TFU,pl,2020-10-19 14:55:00
1318173766791430145,1318172760112234497,2020-10-19,14:54:51,"@pisorgpl @MorawieckiM Teraz nie czas na kpienie i kłótnie polityczne!  Teraz należy wspólnie przeciwdziałać zagrożeniu.  Na kłótnie polityczne będzie jeszcze wiele czasu jak uporamy się z wirusem.  Teraz postarajmy się, żeby za jakiś czas miał się kto kłócić politycznie.",pl,2020-10-19 14:54:51
1318173608049594368,1318173608049594368,2020-10-19,14:54:13,@pisorgpl Gestapo i SS waszymi wzorcami!,pl,2020-10-19 14:54:13
1318173586218209283,1318172760112234497,2020-10-19,14:54:08,"@pisorgpl @MorawieckiM Jak niektórzy nadal w swym zaślepieniu w walce politycznej, zapominając o tym, że zaraza nie odróżnia kto z jakiej jest opcji, będą negować konieczność przestrzegania zasad ostrożności i wzrośnie ilość zarażeń, to doprowadzą do sytuacji, że będzie naprawdę źle!!! #MaskujSię",pl,2020-10-19 14:54:08
