id,date,time,name,tweet,language,timestamp
1317213443204800518,2020-10-16,23:18:52,Partia KORWiN,#korwinistki 😉  https://t.co/529rTNiFSl,und,2020-10-16 23:18:52
1317033751021559809,2020-10-16,11:24:50,Partia KORWiN,"Rozpoczęło się posiedzenie sejmowego zespołu ds. opieki okołoporodowej, któremu przewodniczy wiceprezes Partii KORWiN @Kulesza_pl. Najważniejszy temat, to opieka w kontekście sytuacji epidemicznej.  Dość separacji dzieci od matek❗️  #Konfederacja #PartiaKORWiN  https://t.co/hzL1JpsQJX",pl,2020-10-16 11:24:50
1315277429611651072,2020-10-11,15:05:50,Partia KORWiN,👏🏻👏🏻👏🏻,und,2020-10-11 15:05:50
1314306937991946240,2020-10-08,22:49:27,Partia KORWiN,"Chyba, że jesteś z @pisorgpl - wtedy rób, co chcesz #panstwozdykty  https://t.co/7j5lr6PPBa",pl,2020-10-08 22:49:27
1311621342752636929,2020-10-01,12:57:51,Partia KORWiN,@KONFEDERACJA_ .@JkmMikke @grabarczyktomek na dzisiejszej konferencji  https://t.co/oTK9DXqHRU,pl,2020-10-01 12:57:51
1311621182643269637,2020-10-01,12:57:13,Partia KORWiN,@KONFEDERACJA_  https://t.co/X9ONggJnW0,und,2020-10-01 12:57:13
1310883941046460417,2020-09-29,12:07:41,Partia KORWiN,@KONFEDERACJA_ .@KonradBerkowicz  https://t.co/b55SUZSDKM,und,2020-09-29 12:07:41
1310238830805610503,2020-09-27,17:24:14,Partia KORWiN,"🇵🇱 27 września 1991r. zmarł Stefan Kisielewski - żołnierz AK i uczestnik powstania warszawskiego, w 1987 r. był współzałożycielem, obok Janusza Korwin-Mikkego, Ruchu Polityki Realnej, który w 1989 roku przekształcił się w Unię Polityki Realnej.  https://t.co/2GWNuMGMHn",pl,2020-09-27 17:24:14
1309436828433481728,2020-09-25,12:17:22,Partia KORWiN,Polecamy‼️  https://t.co/YcmgA9mRpl,pl,2020-09-25 12:17:22
1309214307150946306,2020-09-24,21:33:09,Partia KORWiN,".@KonradBerkowicz: PiS to maniacy podatkowi, którzy wprowadzili 35 podatków i teraz wprowadzają kolejne: podatek od cukru, od deszczu, od wymiany oleju silnikowego, od prądu, od pracy za granicą, nawet podatek od piw smakowych, od smartfonów, od smart TV...  https://t.co/Lvcirb0Hrb",pl,2020-09-24 21:33:09
1309103678369009664,2020-09-24,14:13:33,Partia KORWiN,"Na koniec 2021 r. zadłużenie państwa ma sięgnąć ponad 1,52 bln zł, czyli o prawie 50% (ok. 480 mld zł) więcej niż na koniec 2019r. Tak dużych zobowiązań i w tak szybkim tempie nie zaciągał dotychczas żaden rząd od czasów transformacji.  https://t.co/4ICWT2RKJE",pl,2020-09-24 14:13:33
1308776814844817409,2020-09-23,16:34:43,Partia KORWiN, https://t.co/LXBCxN3av3,und,2020-09-23 16:34:43
