id,date,time,name,tweet,language,timestamp
1317507177440006151,2020-10-17,18:46:03,Razem,"@LANcaster @82Radom @e_bartkowska @leniwalewaczka @Greg_G84 A ponad 100 tysięcy aborcji rocznie Polki robią nielegalnie, albo w innych krajach.",pl,2020-10-17 18:46:03
1317409822636199937,2020-10-17,12:19:12,Razem,"Typowy PiS❗️ @PolaMatysiak: Kiedy będzie strategia dot. DPS-ów? Na komisji łączonej padła informacja, że ma być gotowa w okolicach września. @BorowiakJoanna: Październik to też okolice września.  🤯  Sami zobaczcie 👇  https://t.co/rNqsYuKCRr",pl,2020-10-17 12:19:12
1317115788302626816,2020-10-16,16:50:49,Razem,"80 proc. Polek i Polaków nie chce zakazu aborcji! Rząd @pisorgpl i prawicowi fanatycy chcą, żeby kobiety patrzyły na to, jak ich dziecko umiera w męczarniach po porodzie. Wszystko w imię chorej, fanatycznej ideologii. Zobaczcie wystąpienie @MagdaBiejat 👇   https://t.co/IrvekeehDU",pl,2020-10-16 16:50:49
1317076382854402048,2020-10-16,14:14:14,Razem,"Bohaterzy! Torturować kobiety chcą, ale żaden się nie stawi.",pl,2020-10-16 14:14:14
1317013732158046208,2020-10-16,10:05:17,Razem,"Myślicie o dziecku? Powinno być pięknie. Wyobraź sobie jednak, że płód jest śmiertelnie chory.  Niekorzystny wyrok TK 22.10.20 sprawi, że kobiety będą ZMUSZANE do rodzenia. Także w sytuacji, kiedy dziecko umrze w męczarniach parę godzin po narodzinach. To tortury! #WyrokNaKobiety  https://t.co/8K90y60dY6",pl,2020-10-16 10:05:17
1316744466770821120,2020-10-15,16:15:19,Razem,"@CentrumPol @mmzawisza hej, boto-trollu, skrypt ci się pomylił, nie o tym mowa",pl,2020-10-15 16:15:19
1316742216229027846,2020-10-15,16:06:22,Razem,"Żadna matka i żaden ojciec nie chce patrzeć, jak ich dziecko cierpi i umiera w męczarniach. Od nich chcą tego prawicowi fanatycy. Mówimy o tym od lat, bo od lat prawica chce obedrzeć kobiety z ich podstawowych praw. Zobaczcie wystąpienie @mmzawisza z 2018.  #WyrokNaKobiety  https://t.co/hqTamcgBTi",pl,2020-10-15 16:06:22
1316691175777218562,2020-10-15,12:43:33,Razem,"Prawicowcy i fanatycy religijni chcą cierpienia kobiet. Żaden rodzic nie chce widzieć cierpienia i umierania w męczarniach swojego dziecka. Ale 22 X TK podejmie w tej sprawie decyzję. Cierpienie kobiet i dzieci, czy zaspokojenie nienawiści prawicy? To oni podejmą #WyrokNaKobiety  https://t.co/w3DOPuQth9",pl,2020-10-15 12:43:33
1316614774034235392,2020-10-15,07:39:58,Razem,Dzisiaj połowa października! Dzisiaj się wypłaszczy! 🥳,pl,2020-10-15 07:39:58
1316345259241209856,2020-10-14,13:49:00,Razem,"Prawica nie ufa kobietom. Prawica uważa, że wie lepiej od kobiet. Prawica ma w nosie krzywdę kobiet. Przez prawicowych polityków 22 października Trybunał Konstytucyjny wyda #WyrokNaKobiety.   Zobacz jak @MagdaBiejat miażdży bezsensowne, barbarzyńskie prawo aborcyjne w Polsce.  https://t.co/GkXrXVHmA5",pl,2020-10-14 13:49:00
